iter	Passed	Remaining
0	131	130899
1	132	65911
2	133	44259
3	134	33388
4	134	26839
5	135	22452
6	136	19315
7	136	16965
8	137	15145
9	138	13690
10	138	12493
11	139	11495
12	140	10649
13	140	9928
14	141	9303
15	142	8752
16	143	8268
17	143	7841
18	144	7459
19	145	7113
20	145	6799
21	146	6513
22	147	6252
23	147	6013
24	148	5794
25	149	5589
26	149	5398
27	150	5220
28	150	5054
29	151	4900
30	152	4756
31	152	4620
32	153	4494
33	153	4374
34	154	4261
35	155	4154
36	155	4053
37	156	3958
38	156	3866
39	157	3780
40	158	3698
41	158	3620
42	159	3545
43	159	3474
44	160	3406
45	161	3341
46	161	3278
47	162	3219
48	162	3161
49	163	3106
50	164	3053
51	164	3003
52	165	2953
53	165	2906
54	166	2861
55	167	2818
56	167	2775
57	168	2735
58	169	2695
59	169	2657
60	170	2620
61	170	2585
62	171	2551
63	172	2519
64	172	2487
65	173	2456
66	174	2426
67	174	2392
68	175	2364
69	175	2336
70	176	2309
71	177	2283
72	177	2258
73	178	2233
74	179	2209
75	179	2186
76	180	2163
77	181	2140
78	181	2119
79	182	2097
80	183	2076
81	183	2056
82	184	2036
83	184	2017
84	185	1996
85	186	1977
86	186	1957
87	187	1940
88	187	1923
89	188	1906
90	189	1889
91	189	1873
92	190	1857
93	191	1842
94	191	1827
95	192	1812
96	193	1797
97	193	1783
98	194	1769
99	195	1755
100	195	1741
101	196	1726
102	196	1713
103	197	1700
104	198	1687
105	198	1675
106	199	1663
107	199	1650
108	200	1639
109	201	1628
110	201	1616
111	202	1605
112	203	1594
113	203	1583
114	204	1573
115	204	1561
116	205	1551
117	206	1541
118	206	1530
119	207	1520
120	208	1511
121	208	1501
122	209	1490
123	209	1480
124	210	1471
125	210	1462
126	211	1454
127	211	1443
128	212	1435
129	213	1427
130	213	1418
131	214	1410
132	215	1402
133	215	1395
134	216	1387
135	217	1379
136	217	1372
137	218	1364
138	219	1356
139	219	1349
140	220	1342
141	220	1334
142	221	1327
143	222	1320
144	222	1313
145	223	1307
146	224	1300
147	224	1293
148	225	1287
149	226	1280
150	226	1274
151	227	1268
152	227	1261
153	228	1255
154	229	1249
155	229	1243
156	230	1237
157	231	1231
158	231	1226
159	232	1220
160	233	1214
161	233	1209
162	234	1203
163	235	1198
164	235	1192
165	236	1187
166	237	1182
167	237	1176
168	238	1171
169	238	1166
170	239	1161
171	240	1156
172	240	1151
173	241	1146
174	242	1141
175	242	1136
176	243	1132
177	244	1127
178	244	1123
179	245	1118
180	245	1112
181	246	1108
182	247	1103
183	247	1099
184	248	1094
185	249	1090
186	249	1086
187	250	1081
188	251	1077
189	251	1073
190	252	1068
191	252	1064
192	253	1060
193	254	1056
194	254	1052
195	255	1048
196	256	1044
197	256	1040
198	257	1036
199	258	1032
200	258	1029
201	259	1025
202	260	1021
203	260	1017
204	261	1013
205	262	1010
206	262	1006
207	263	1002
208	263	999
209	264	995
210	265	991
211	265	988
212	266	984
213	267	981
214	267	977
215	268	974
216	269	971
217	269	967
218	270	964
219	271	961
220	271	957
221	272	954
222	272	951
223	273	948
224	274	944
225	274	941
226	275	938
227	276	935
228	276	931
229	277	928
230	278	925
231	278	922
232	279	919
233	279	916
234	280	913
235	281	910
236	281	907
237	282	904
238	283	901
239	283	898
240	284	895
241	284	892
242	285	889
243	286	886
244	286	884
245	287	881
246	288	878
247	288	875
248	289	872
249	290	870
250	290	867
251	291	864
252	291	861
253	292	859
254	293	856
255	293	854
256	294	851
257	295	849
258	295	846
259	296	843
260	297	841
261	297	838
262	298	836
263	299	833
264	299	831
265	300	828
266	301	826
267	301	824
268	302	821
269	302	819
270	303	816
271	304	814
272	304	811
273	305	809
274	306	806
275	306	804
276	307	802
277	308	800
278	308	797
279	309	795
280	310	793
281	310	790
282	311	788
283	311	786
284	312	784
285	313	781
286	313	779
287	314	777
288	315	775
289	315	773
290	316	770
291	317	768
292	317	766
293	318	764
294	318	762
295	319	760
296	320	757
297	320	755
298	321	753
299	322	751
300	322	749
301	323	747
302	324	745
303	324	743
304	325	741
305	325	739
306	326	737
307	327	735
308	327	733
309	328	731
310	329	729
311	329	727
312	330	725
313	330	723
314	331	721
315	332	719
316	332	717
317	333	715
318	334	713
319	334	711
320	335	709
321	335	707
322	336	705
323	337	703
324	337	701
325	338	699
326	339	697
327	339	695
328	340	694
329	340	692
330	341	690
331	342	688
332	342	686
333	343	684
334	344	683
335	344	681
336	345	679
337	346	677
338	346	675
339	347	674
340	347	672
341	348	670
342	349	668
343	349	667
344	350	665
345	351	663
346	351	661
347	352	660
348	353	658
349	353	656
350	354	655
351	354	653
352	355	651
353	356	650
354	356	648
355	357	646
356	358	644
357	358	643
358	359	641
359	360	640
360	360	638
361	361	636
362	361	635
363	362	633
364	363	631
365	363	630
366	364	628
367	365	627
368	365	625
369	366	624
370	367	622
371	367	620
372	368	619
373	369	617
374	369	616
375	370	614
376	371	613
377	371	611
378	372	610
